A-bomb Atombombe
incorrigibleness Unverbesserlichkeiten
incorruptibility Unbestechlichkeit
incorruptness Unbestechlichkeiten
increase Wachstum
incredibility Unglaubwuerdigkeit
incredibleness Unglaubwuerdigkeiten
incredulity Unglaeubigkeit
incredulousness Unglaeubigkeiten
increment Erhoehung
incrementer Inkrementierer
increments Erweiterungen
incrimination Beschuldigung
incrustation Verkrustung
incrustations Verkrustungen
incubation Inkubation
incubator Brutapparat
incurability Unheilbarkeit
incurableness Unheilbarkeiten
incursion Einbruch
incursions Einbrueche
indebtedness Verschuldung
indecencies Unanstaendigkeiten
indecency Unanstaendigkeit
indecision Zoegern
indecisions Zoegern
indecisiveness Unschluessigkeiten
indecorousness Unschicklichkeit
indecorousnesses Unschicklichkeiten
indefatigability Unermuedlichkeit
indefatigableness Unermuedlichkeit
indefensibility Unentschuldbarkeit
indefensibleness Unhaltbarkeit
indefinability Undefinierbarkeit
indefinableness Undefinierbarkeiten
indefiniteness Unbestimmtheit
indelibility Unzerstoerbarkeit
indelibleness Unzerstoerbarkeit
indelicacy Unanstaendigkeit
indelicateness Unfeinheit
indemnification Entschaedigung
indemnities Schadenersaetze
indemnity Schadenersatz
indentation Einschnitt
indentations Markierungen
indenture Vertrag
indentures Vertraege
independence Unabhaengigkeit
independents Unabhaengigen
indescribability Unbeschreiblichkeit
indescribableness Unbeschreiblichkeiten
indestructibility Unzerstoerbarkeit
indestructibleness Unzerstoerbarkeiten
indeterminableness Unbestimmtheit
indeterminacy Unbestimmtheiten
indeterminateness Unbestimmtheit
indetermination Unbestimmtheiten
index Hinweis
indexes Anzeigen
indexing Anzeige
IndianAmerican Indianer
indication Anzeige
indicator Anzeige
indicators Anzeiger
indices Index
indictment Anklage
indictments Anklagen
indifference Gleichgueltigkeit
indigence Armut
indigestibilities Unverdaulichkeiten
indigestibility Unverdaulichkeit
indigestibleness Unverdaulichkeiten
indigestion Magenverstimmung
indigestions Verdauungsstoerungen
indignation Empoerung
indignations Empoerung
indignities Beleidigungen
indignity Beleidigung
indirection Umweg
indirectness Anspielung
indirectnesses Anspielungen
indiscernibleness Unmerklichkeit
indiscreetness Indiskretion
indiscretion Indiskretion
indiscretions Indiskretionen
indiscriminateness Wahllosigkeit
indiscrimination Wahllosigkeiten
indispensability Unentbehrlichkeit
indispensableness Unentbehrlichkeiten
indisposition Abneigung
indispositions Abneigungen
indisputability Unbestreitbarkeit
indisputableness Unbestreitbarkeiten
indissolubility Unaufloesbarkeit
indissolubleness Unaufloesbarkeiten
indistinctness Undeutlichkeiten
indistinguishability Unmerklichkeit
indistinguishableness Unmerklichkeiten
indium Indium
individualism Individualismus
individualist Individualist
individuality Individualitaet
individualization Individualisierung
individualizations Individualisierungen
indivisibility Unteilbarkeit
indoctrination Belehrung
indoctrinator Lehrer
indolence Traegheit
indomitability Unbezwinglichkeit
indomitableness Unbezwinglichkeiten
inducement Veranlassung
inducements Veranlassungen
inductance Induktivitaet
inductee Rekrut
inductees Rekruten
induction Einweihung
inductivity Induktivitaet
inductor Induktor
indulgence Schwaeche
indulgences Nachsicht
induration Haertung
industrialisation Industrialisierung
industrialism Industrialismus
industrialization Industrialisierung
industries Industrien
industriousness Fleiss
industry Industrie
inebriation Rausch
inedibility Ungeniessbarkeit
ineffability Unbeschreiblichkeit
ineffectualness Unwirksamkeit
inefficaciacy Erfolglosigkeit
inefficacy Unwirksamkeit
inefficiency Unwirtschaftlichkeit
inelasticity Starrheit
inelegance Unfeinheit
ineligibility Untauglichkeit
ineligibleness Untauglichkeiten
ineptness Ungeeignetheit
inequalities Ungleichheiten
inequality Ungleichheit
inequity Ungerechtigkeit
inertia Massentraegheit
inertial Traegheit
inertially Untaetigkeit
inertness Schlaffheit
inestimability Unschaetzbarkeit
inestimableness Unschaetzbarkeiten
inevitability Unvermeidlichkeit
inevitableness Unvermeidbarkeit
inexactness Ungenauigheit
inexcusability Unentschuldbarkeit
inexcusableness Unverzeilichkeit
inexhaustibility Unerschoepflichkeit
inexhaustibleness Unerschoepflichkeiten
inexorability Unerbittlichkeit
inexorableness Unerbittlichkeiten
inexpedience Unzweckmaessigkeit
inexpensiveness Billigkeit
inexperience Unerfahrenheit
inexperiences Unerfahrenheiten
inexpertness Ungeuebtheit
inexpiableness Unsuehnbarkeit
inexplicability Unerklaerlichkeit
inexplicableness Unbegreiflichkeit
inextricableness Unentwirrrbarkeit
infallibility Unfehlbarkeit
infallibleness Unfehlbarkeiten
infamies Unverschaemtheiten
infamousness Ehrlosigkeit
infamy Ehrlosigkeit
infancies Kindheiten
infancy Kindheit
infant Kind
infanticide Kindesmord
infanticides Kindesmorde
infantry Fussvolk
infantryman Infanterist
infantrymen Infanteristen
infants Kinder
infarct Infarkt
infarctioncardiac Herzinfarkt
infarcts Infarkte
infatuation Betoerung
infeasibility Ungeeignetheit
infection Ansteckung
infections Ansteckungen
infectiousness Uebertragbarkeit
infelicities Ungluecke
infelicity Unglueck
inference Schlussfolgerung
inferences Schlussfolgerungen
inferface Interface
inferiorities Minderwertigkeiten
inferiority Minderwertigkeit
inferiors Untergebenen
infertility Unfruchtbarkeit
infestation Heimsuchung
infidels Unglaeubigen
infield Ackerland
infighting Nahkampf
infiltration Unterwanderung
infimum Infimum
infiniteness Unendlichkeit
infinities Unendlichkeiten
infinitive Infinitiv
infinitives Infinitive
infinitude Unendlichkeit
infinitum Infinitum
infinity Endlosigkeit
infirmaries Krankenhaeuser
infirmary Krankenhaus
infirmities Schwaechen
infirmity Schwaeche
infirmness Gebrechlichkeit
infix Einfuegung
infixes Einfuegungen
inflammability Entzuendbarkeit
Inflammable Entzuendbar
inflammableness Brennbarkeit
inflammation Entzuendung
inflammations Entzuendungen
inflation Inflation
inflection Biegung
inflections Biegungen
inflexibility Unbeugsamkeit
inflexibleness Unbiegsamkeit
inflexion Biegung
inflexions Biegungen
infliction Zufuegung
inflow Zufluss
inflows Zufluesse
influences Einfluesse
influenza Grippe
influx Einfuhr
informality Formlosigkeit
informant Gewaehrsmann
informants Informanten
informatics Informatik
information Informationen
informer Spitzel
informers Denunzianten
infra Infra
infraction Verletzung
infrared-lightpen Infrarotlesestift
infrastructure Infrastruktur
infrequence Seltenheit
infrequency Seltenheiten
infringement Rechtsverletzung
infringements Verletzungen
infuriation Erregtheit
infusion Aufguss
ingel Kaminfeuer
ingeniousness Genialitaet
ingenue Unschuld
ingenuity Genialitaet
ingenuousness Offenheit
ingestion Nahrungsaufnahme
inglenook Kaminecke
ingot Barren
ingots Barren
ingratiation Liebenswuerdigkeit
ingredient Bestandteil
ingredients Bestandteile
ingress Eintritt
ingresses Eintritte
inguinal Leisten
inhabitability Bewohnbarkeit
inhabitancy Aufenthalt
inhabitant Bewohner
inhabitants Einwohner
inhabitation Aufenthalt
inhabiters Bewohner
inhalant Inhalationssmittel
inhalants Inhalationssmittel
inhalation Inhalation
inhalations Inhalationen
inharmoniousness Reibung
inherence Anhaften
inheritance Erbe
inheritances Erbteile
inheritor Erbe
inheritress Erbin
inhibition Sperrung
inhibitions Hemmungen
inhibitor Hemmstoff
inhospitableness Ungastlichkeit
inhumanity Grausamkeit
inhumanness Unmenschlichkeit
inimitability Einzigartigkeit
inimitableness Einzigartigkeiten
iniquities Ungerechtigkeiten
iniquitousness Ungerechtigkeit
iniquity Ungerechtigkeit
init Anfang
initial Anfang
initialization Initialisierung
initializer Initialisierungsprogramm
initials Initialen
initiation Anstoss
initiations Anfaenge
initiative Initiative
initiator Urheber
initiators Initiatoren
injection Injektion
injections Injektionen
injector Dampfstrahlpumpe
injudiciousness Unueberlegtheit
injuries Verletzungen
injury Verletzung
injustice Ungerechtigkeit
injustices Ungerechtigkeiten
ink Druckerschwaerze
ink-eraser Tintenradiergummi
ink-jet Tintenstrahl
ink-pad Stempelkissen
ink-pencil Tintenstift
inkblot Tintenklecks
inking Einschwaerzung
inkling Andeutung
inklings Andeutungen
inkstand Tintenfass
inkwell Tischtintenfass
inland Binnenland
inlands Binnenlaender
inlay Einlegearbeit
inlaying Taefelung
inlays Einlegearbeiten
inlet Eingang
inmate Insasse
inmates Insassen
inn Wirtshaus
inner Innen
innkeeper Gastwirt
innocence Unschuld
innocents Unschuldigen
innocuousness Unschaedlichkeit
innovation Neuerung
innovations Neuerungen
innovator Neuerer
inns Gasthoefe
innuendo Anspielung
inoccupation Arbeitslosigkeit
inoculation Impfung
inoffensiveness Harmlosigkeit
inoperativeness Ungueltigkeit
inopportuneness Ungelegenheit
inordinacy Uebertreibung
inordinateness Uebertreibung
input Eingabe
inputname Eingabename
inquest Untersuchung
inquests Untersuchungen
inquietude Unruhe
inquiries Erhebungen
inquiry Nachfrage
inquisition Untersuchung
inquisitional Untersuchungsart
inquisitions Untersuchungen
inquisitiveness Wissbegierde
inquisitor Untersuchungsbeamte
inquisitors Untersuchungsbeamten
inroad Ueberfall
inroads Ueberfaelle
inrun Anlauf
inruns Zustrom
insaneness Verruecktheit
insanity Wahnsinn
insatiability Unersaettlichkeit
insatiableness Unersaettlichkeit
insatiateness Unersaettlichkeit
inscription Aufschrift
inscriptions Eintragungen
inscrutability Unergruendlichkeit
inscrutableness Unerforschlichkeit
insect Insekt
insecticide Insektengift
insectivore Insektenfresser
insects Insekten
insecureness Unsicherheiten
insecurities Verunsicherungen
insecurity Unsicherheit
inseminations Befruchtungen
insensateness Empfindungslosigkeit
insensibility Gefuehllosigkeit
insensibleness Gleichgueltigkeit
insensitiveness Empfindungslosigkeit
insensitivity Unempfindlichkeit
inseparability Untrennbarkeit
inseparableness Unzertrennlichkeit
insert Einsatz
insertion Einfuegung
insertions Einfuegungen
inset Einsatz
insets Einsaetze
inside Innere
insider Mitglied
insides Innenseiten
insidiousness Hinterlist
insight Einblick
insightfulness Durchsichtigkeit
insights Einblicke
insignia Abzeichen
insignificance Geringfuegigkeit
insincerities Unaufrichtigkeiten
insincerity Unaufrichtigkeit
insinuation Andeutung
insinuations Andeutungen
insipidity Geschmacklosigkeit
insipidness Geschmacklosigkeiten
insistence Beharrlichkeit
insobriety Unmaessigkeit
insolation Sonnenbestrahlung
insole Brandsohle
insolence Frechheit
insoles Brandsohlen
insolubility Unloeslichkeit
insolubleness Unloeslichkeiten
insolvencies Insolvenzen
insolvency Insolvenz
insomnia Schlaflosigkeit
insouciance Sorglosigkeit
inspection Pruefung
inspector Aufseher
inspiration Eingebung
inspirations Eingebungen
inspirer Anreger
instabilities Haltlosigkeiten
instability Haltlosigkeit
installation Einrichtung
installations Installationen
installer Installateur
installers Installateure
installing Installation
installment Rate
instalment Rate
instance Beispiel
instances Umstaende
instancy Dringlichkeit
instant Moment
instantaneousness Blitzesschnelle
instep Rist
instigation Anstiftung
instigator Anstifter
instigators Anstifter
instinct Instinkt
instinctiveness Natuerlichkeit
instincts Instinkte
instructing Anweisung
instruction Auftrag
instructional Befehls
instructions Vorschriften
instructor Lehrer
instrument Instrument
instrumentality Vermittlung
instrumentation Instrumentation
instruments Instrumente
insubordination Unbotmaessigkeit
insubstantiality Unwirklichkeit
insufferableness Unertraeglichkeit
insufficiency Unzulaenglichkeit
insulant Isoliermaterial
insular Insel
insularity Abgeschlossenheit
insulars Inseln
insulating Isolier
insulation Isolierung
insulator Isolator
insult Beleidigung
insuperableness Unueberwindlichkeit
insupportableness Unertraeglichkeit
insurability Versicherungsfaehigkeit
insurance Versicherung
insurances Versicherungen
insurant Versicherungsnehmer
insuree Versicherungsnehmer
insurer Versicherer
insurgence Aufstand
insurgencies Aufstaende
insurgency Aufstands
insurgent Rebell
insurrection Aufstand
insurrectionist Aufruehrer
insurrections Aufstaende
insusceptibility Unempfaenglichkeit
intaglio Tiefdruck
intake Eingabe
integers Ganzzahlen
integral Integral
integration Integration
integrator Integrierschaltkreis
integrity Integritaet
integument Haut
intellect Intellekt
intellectual Intellektuelle
intellectuality Geisteskraft
intellectuals Intellektuellen
intelligence Intelligenz
intelligibility Verstaendlichkeit
intelligibleness Klarheit
intemperance Unmaessigkeit
intemperances Unmaessigkeiten
intemperateness Zuegellosigkeit
intendant Intendant
intenseness Intensitaet
intensification Verstaerkung
intensifier Verstaerker
intensity Intensitaet
intensiveness Gefuehlskraft
intent Absicht
intention Zweck
intentions Vorhaben
intentness Entschlossenheit
intents Absichten
inter-relation Wechselbeziehung
interaction Dialogeingriff
intercalation Einschiebung
interceder Fuersprecher
interception Unterbrechung
intercession Fuerbitte
intercessions Fuerbitten
intercessor Fuersprecher
interchange Austausch
interchangeability Austauschbarkeit
intercom Gegensprechanlage
intercoms Gegensprechanlagen
interconnecting Verbindungs
interconnection Verbindung
interconnections Verbindungen
intercooler Ladeluftkuehler
intercooling Ladeluftkuehlung
intercourse Verkehr
interdiction Verbot
interdictions Verbote
interest Interesse
interesting Interesse
interests Interessen
interface Verbindung
interference Eingriff
interferences Einmischungen
interferon Interferon
interims Zwischenzeiten
interior Innen
interiors Innenraeume
interjection Ausruf
interjections Ausrufe
interleaf Durchschuss
interleaves Auslassungen
interlinking Kopplung
interlocking Verriegeln
interlocution Gespraech
interlocutions Unterredungen
interlocutor Gespraechspartner
interloper Eindringling
interlopers Eindringlinge
interlude Vorprogramm
interludes Zwischenspiele
intermarriage Mischehe
intermediaries Zwischenhaendler
interment Beerdigung
interments Beerdigungen
intermezzo Intermezzo
interminableness Endlosigkeit
intermission Unterbrechung
intermissions Unterbrechungen
intermittence Unterbrechung
intermittency Periodizitaet
intermixture Mischung
internationalism Internationalismus
internationalization Internationalisierung
internist Internist
internment Internierung
internments Internierungen
internship Praktikum
interoffice Haus
interphone Gegensprechanlage
interplay Wechselwirkung
interpolation Erweiterung
interposition Einfuegung
interpretation Auslegung
interpreter Uebersetzer
interregnums Pausen
interrelation Wechselbeziehung
interrogating Fragestellung
interrogation Frage
interrogative Fragefuerwort
interrogatives Fragefuerwoerter
interrogator Abfrageeinrichtung
interrupt Unterbrechung
interrupter Stromunterbrecher
interruptibility Unterbrechbarkeit
interruption Unterbrechung
interruptions Unterbrechungen
intersection Schnittflaeche
interspersion Durchsetzung
interstage Zwischenstufe
interstation Zwischenstation
interstice Zwischenraum
interstices Zwischenraeume
interval Intervall
intervals Intervalle
intervention Eingriff
interventionist Befuerworter
interventions Interventionen
interview Interview
interweaving Verwebung
intestinal Darm
intestine Darm
intestines Eingeweiden
intimacies Traulichkeiten
intimacy Intimitaet
intimateness Vertrautheit
intimates Vertrauten
intimation Andeutung
intimations Andeutungen
intimidation Einschuechterung
intolerability Unertraeglichkeit
intolerableness Unausstehlichkeit
intolerance Intoleranz
intonation Intonation
intoxication Rausch
intractability Widerspenstigkeit
intransigence Unnachgiebigkeit
intrepidity Furchtlosigkeit
intrepidness Unerschrockenheit
intricacies Komplikationen
intricacy Kompliziertheit
intricateness Umstaendlichkeit
intricatenesses Schwierigkeiten
intrigue Intrige
intriguer Intrigant
intriguers Intriganten
intrigues Intrigen
introduction Einfuehrung
introductions Einleitungen
introit Eingangslied
introspection Selbstpruefung
introspectiveness Selbstpruefung
introspectivenesses Selbstpruefungen
intruder Eindringling
intrusion Besitzstoerung
intrusiveness Aufdringlichkeit
intuition Einfuehlungsvermoegen
intuitiveness Ahnung
intuitivenesses Ahnungen
inundation Ueberschwemmung
inurement Abhaertung
invader Angreifer
invalid Kranken
invalidation Entkraeftung
invalidities Hinfaelligkeiten
invalidity Hinfaelligkeit
invalidness Ungueltigkeiten
invalids Kranken
invariability Unveraenderlichkeit
invariableness Unveraenderlichkeiten
invariance Bestaendigkeit
invasion Eingriff
invasiveness Zudringlichkeit
invective Schimpfwort
invectiveness Beschimpfung
invectivenesses Beschimpfungen
invention Erfindung
inventions Erfindungen
inventiveness Ideenreichtum
inventor Erfinder
inventories Bestandsaufnahmen
inventory Inventar
inverse Umkehrfunktion
inversion Umkehrung
inversions Umkehrungen
inverter Umkehrer
inverting Invertierung
investigation Untersuchung
investigator Erforscher
investment Investition
investor Investor
investors Geldgeber
inveteracy Hartnaeckigkeit
inveterateness Hartnaeckigkeit
invidiousness Boeskeit
invigilator Ueberwachungseinrichtung
invigoration Kraeftigung
invigorations Kraeftigungen
invincibility Unbesiegbarkeit
invincibleness Unbesiegbarkeiten
inviolability Unantastbarkeit
inviolableness Unverletzlichkeit
inviolacy Unverletzlichkeiten
inviolateness Unverletzlichkeiten
invisibility Unsichtbarkeit
invisibleness Unsichtbarkeiten
invitation Einladung
invitations Einladungen
invocation Aufruf
invocations Aufrufe
invoice Rechnung
invoices Warenrechungen
invoking Aufruf
involute Evolvente
involution Involution
involvement Verwicklung
involvements Einschluesse
invulnerability Unverwundbarkeit
invulnerableness Unverwundbarkeiten
inwardness Innerlichkeit
inwards Innereien
iodine Jod
ion Ion
ionic Ionen
ionisation Ionisierung
ionization Ionisierung
ionosphere Ionosphaere
iota Jota
ipecac Brechwurzel
irascibility Jaehzorn
irascibleness Jaehzorn
irateness Wut
iridescence Schillern
iridium Iridium
iris Schwertlilie
irises Schwertlilien
Irishman Ire
Irishwoman Irin
irksomeness Verdriesslichkeit
iron Eisen
ironies Ironien
ironmonger Eisenhaendler
ironmongers Eisenhaendler
ironwork Schmiedeeiserne
ironworks Eisenhuette
irony Ironie
irradiance Beleuchtungsdichte
irradiation Abstrahlung
irrationality Irrationalitaet
irrationalness Irrationalitaeten
irreconcilability Unversoehnlichkeit
irreconcilableness Unvereinbarkeit
irredeemability Hoffnungslosigkeit
irredeemableness Hoffnungslosigkeiten
irrefutability Unwiderlegbarkeit
irregularities Unregelmaessigkeiten
irregularity Regelwidrigkeit
irrelevance Belanglosigkeit
irrelevances Belanglosigkeiten
irremediableness Unheilbarkeit
irremovability Unbeweglichkeit
irreparability Unersetzlichkeit
irreparableness Unersetzlichkeiten
irreplaceability Unersetzlichkeit
irreplaceableness Unersetzlichkeiten
irreproachability Untadeligkeit
irreproachableness Untadeligkeiten
irresistibility Unwiderstehlichkeit
irresistibleness Unwiderstehlichkeiten
irresoluteness Unentschlossenheiten
irresolution Unentschlossenheit
irresponsibility Unverantwortlosigkeit
irresponsibleness Verantwortungslosigkeiten
irretrievability Unersetzlichkeit
irretrievableness Unersetzlichkeit
irreverence Respektlosigkeit
irreversibility Unabaenderlichkeit
irreversibleness Unabaenderlichkeiten
irrevocability Unwiderruflichkeit
irrevocableness Unwiederruflichkeiten
irrigation Bewaesserung
irrigations Waesserungen
irritabilities Reizbarkeiten
irritability Erregbarkeit
irritableness Reizbarkeiten
irritants Reizmittel
irritation Aerger
irritations Reizungen
irruption Einbruch
irruptions Einbrueche
island Insel
islander Inselbewohner
islands Inseln
isle Eiland
islet Inselchen
isobar Isobare
isobars Isobaren
isolation Isolation
isolationism Isolationismus
isolationist Isolationist
isolationists Isolationisten
isomer Isomer
isomers Isomere
isometry Isometrie
isomorphism Isomorphismus
isoprene Isopren
isopropyl Isopropyl
isotherm Isotherme
isotherms Isothermen
isotope Isotop
isotopes Isotope
Israeli Israeli
Israelite Israelit
issuance Ausgabe
issuances Ausgaben
issue Ergebnis
issuer Ausgeber
issuers Aussteller
issues Ausgaben
isthmus Landenge
isthmuses Verengungen
Italian Italiener
italics Kursivschrift
itching Juckreiz
itchiness Jucken
itching Jucken
item Punkt
items Einzelheiten
iteration Wiederholung
iterations Wiederholungen
iterativeness Wiederholung
itineraries Reisetagebuecher
itinerary Reisetagebuch
ivories Gebiss
ivory Elfenbein
ivy Efeu
jabberwocky Quatsch
jack Buchse
jackal Schakal
jackals Schakale
jackboots Reitstiefel
jackdaw Dohle
jackdaws Dohlen
jacket Mantel
jackets Jacken
jackknife Klappmesser
jackpot Einsatz
jacks Steckdosen
jade Jade
jadedness Ermattung
jag Riss
jaggedness Besoffenheit
jags Zacken
jaguar Jaguar
jail Gefaengnis
jailbird Haeftling
jailbirds Knastbrueder
jailbreak Gefaengnisausbruch
jailer Gefaengniswaerter
jailhouse Gefaengnis
jails Gefaengnisse
jam Konfituere
jamboree Gaudi
janitor Portier
janitors Portiers
January Januar
Japanese Japaner
jar Glas
jargon Jargon
jargons Kauderwelsch
jars Kruege
jasmin Jasmin
jaundice Gelbsucht
jaundices Vorurteile
jaunt Ausflug
jauntiness Eleganz
jaunts Ausfluege
javelin Speer
jaw Klemmbacke
jawbone Kinnbacken
jawbreaker Zungenbrecher
jawcoupling Klauenkupplung
jawcrusher Backenbrecher
jawsmith Schwaetzer
jay Toelpel
jazz Jazz
jazziness Wildheit
jealousness Eifersucht
jealousy Eifersucht
jeer Spott
jellies Gelees
jelly Gallert
jellyfish Qualle
jeopardies Gefahren
jeopardy Gefahr
jerk Satz
jerkin Jacke
jerkiness Ruckartigkeit
jerrycan Benzinkanister
jester Spassmacher
jesters Narren
jet Duesenflugzeug
jetliner Duesenverkehrsflugzeug
jetties Landungsbruecken
jetty Landungsbruecke
Jew Jude
Jewess Juedin
Jewishness Judentum
Jewry Judentum
jezebels Nutten
jiffy Augenblick
jig Montagegestell
jigsaw Laubsaegemaschine
jimmy Brecheisen
jingo Chauvinist
jitteriness Ueberspanntheit
jive Swingmusik
job Arbeit
job-work Akkordarbeit
jobber Arbeiter
jobbers Arbeiter
joblessness Arbeitslosigkeit
jobs Aufgaben
jock Bube
jockstrap Suspensorium
jocoseness Scherzhaftigkeit
jocularity Heiterkeit
jocularness Heiterkeiten
jocundity Lustigkeit
jodhpurs Reithosen
jogging Jogging
johnUS Klo
johnny Bummler
joice Freude
joiner Schreiner
joineries Tischlerarbeiten
joinery Tischlerei
joinings Uebertritte
joint Verbindung
joints Verbindungen
joist Balken
joke Spass
joker Spassvogel
jokes Witze
jolliness Froehlichkeit
jollity Froehlichkeiten
josh Ulk
jostle Gedraenge
jot Puenktchen
jots Puenktchen
joule Joule
journal Zeitschrift
journalese Zeitungsstil
journalism Journalismus
journalist Journalist
journalists Journalisten
journals Zeitungen
journey Reise
journeyman Geselle
journeymen Gesellen
joviality Heiterkeit
jovialness Heiterkeiten
jowl Wange
jowls Wangen
joyance Froehlichkeit
joylessness Freudloskeit
joyousness Freude
joyride Vergnuegungsfahrt
joystick Joystick
jubilance Jubel
jubilation Jubel
jubilee Jubilaeum
Judaism Judentum
judgement Beurteilung
judge Richter
judgement Urteil
judgements Urteile
judges Richter
judgeship Richteramt
judgeships Richteraemter
judgment Urteil
judgments Urteile
judicature Rechtspflege
judiciary Justiz
judiciousness Einsicht
jug Krug
Jugendstil Jugendstil
juggernaut Goetze
juggler Gaukler
juggleries Gaukeleien
jugglery Gaukelei
jugs Kruege
jugular Halsader
juice Saft
juicer Fruchtpresse
juices Saefte
juiciness Saftigkeit
jukebox Jukebox
July Juli
jumble Durcheinander
jumbo Jumbo
jump Sprung
jumper Bruecke
jumpiness Nervositaet
jumps Abspruenge
junction Verbindung
junctions Verbindungen
juncture Verbindungspunkt
junctures Verbindungspunkte
June Juni
jungle Dschungel
junior Nachwuchs
juniper Wacholder
junk Material
junket Quarkspeise
junkie Fixer
junks Dschunken
junta Junta
junto Clique
jurisdiction Rechtsprechung
jurisprudent Jurist
jurist Rechtsgelehrte
juror Geschworene
jurors Geschworenen
jury Jury
juryman Geschworene
jurymen Geschworenen
justice Recht
justification Einstellung
justifications Rechtfertigungen
justness Gerechtigkeit
jute Jute
juvenileness Jugendlichkeit
juveniles Jugendlichen
juvennescence Verjuengung
juxtaposition Nebeneinanderstellung
kale Kohl
kaleidoscope Kaleidoskop
kangaroo Kaenguruh
kangoroos Kaenguruhs
kappa Kappa
karate Karate
karateka Karatekaempfer
karma Schicksal
keel Kiel
keenness Schaerfe
keep-sake Andenken
keeper Aufseher
keepers Waerter
keepsake Erinnerung
keg Faesschen
kegs Faesschen
keloid Narbenbildung
kelp Seetang
kennel Gosse
kennels Gossen
kenyan Kenyer
keratin Hornstoff
kerb Bordstein
kerbstone Prellstein
kerchief Kopftuch
kerchiefs Halstuecher
kerf Fallkerbe
kernel Kern
kernels Kerne
kerosene Kerosin
ketchup Ketchup
kettle Kessel
kettledrum Pauke
kettles Kessel
key Schluessel
keyboard Tastatur
keyboards Tastaturen
keycodes Tastencodes
keyhole Schluesselloch
keyholes Schluesselloecher
keying Tastung
keyname Tastenname
keynote Grundton
keypad Tastatur
keypress Tastendruck
keys Tasten
keystone Hauptgedanke
keystroke Tastenanschlag
keystrokes Tastendruecke
keyword Passwort
keywords Schluesselwoerter
kibitzers Kibitze
kick Stoss
kickback Provision
kickbacks Provisionen
kicker Fussballspieler
kickers Fussballspieler
kickoff Start
kicks Fusstritte
kid Kind
kiddy Kind
kidnapper Entfuehrer
kidnappers Entfuehrer
kidnapping Entfuehrung
kidnappings Entfuehrungen
kidney Niere
kids Kinder
kidskin Ziegenleder
killer Moerder
killers Totschlaeger
killjoy Spielverderber
kiln Trockenofen
kilo Kilo
kilobaud Kilobaud
kilobyte Kilobyte
kilocycle Kiloherz
kilogram Kilogramm
kilometre Kilometer
kiloton Kilotonne
kilt Schottenrock
kilts Schottenroecke
kin Sippe
kind Art
kindergarten Kindergarten
kindheartedness Herzenguete
kindliness Guete
kindlyness Freundlichkeit
kindness Freundlichkeit
kindredship Blutsverwandtschaft
kinematics Kinematik
kinetics Kinetik
king Koenig
kingdom Koenigreich
kingdom-come Jenseits
kingdoms Koenigreiche
kingfisher Eisvogel
kingfishers Eisvoegel
kinglet Goldhaehnchen
kingpin Hauptperson
kings Koenige
kingship Koenigtum
kingsize Uebergroesse
kink Knoten
kinkiness Abartigkeit
kinks Knoten
kinsfolk Verwandtschaft
kinship Blutsverwandtschaft
kinsman Verwandte
kinsmen Angehoeriger
kinswoman Verwandte
kinswomen Angehoerige
kipper Bueckling
kippers Buecklinge
kirsch Kirschwasser
kismet Schicksal
kiss Kuss
kit Bausatz
kitchen Kueche
kitchenette Kochnische
kitchens Kuechen
kitchenware Kuechengeschirr
kite Drachen
kites Drachen
kits Ausruestungen
kitsch Kitsch
kitten Kaetzchen
kittens Kaetzchen
kitty Kaetzchen
klan Klan
knack Kniff
knapsack Ranzen
knapsacks Tornister
knave Schurke
knaveries Gaunereien
knavery Gaunerei
knaves Gauner
kneader Masseur
knee Knie
kneecap Kniescheibe
kneepad Knieschuetzer
knell Totenglocke
knells Totenglocken
knickers Schluepfer
knickknack Nippsache
knife Messer
knifing Messerstecherei
knight Pferd
knitter Stricker
knitting Strickzeug
knitwear Strickwaren
knives Messer
knob Griff
knobs Knoepfe
knock Schlag
knocking Klingeln
knockmobile Klapperkiste
knockouts Knockouts
knoll Huegelchen
knolls Huegelchen
knop Knoten
knot Knoten
knothole Astloch
knotter Knuepfmaschine
knotters Knuepfmaschinen
knottiness Verzwicktheit
knout Knute
know-how Sachverstand
knowledge Wissen
knowledgeability Klugheit
knowledgeableness Klugheiten
knuckle Knoechel
knucklebone Knochen
knuckles Knoechel
knurl Knoten
knurls Knoten
kohlrabi Kohlrabi
kook Verrueckte
kookiness Verrueckheit
kooks Verrueckten
Koran Koran
Korea Korea
Korean Koreaner
Kremlin Kreml
krypton Krypton
kudos Ehre
kurhaus Kurhaus
lab Labor
label Marke
labelling Beschriftung
labels Anschriften
labia Schamlippen
lability Labilitaet
labor Arbeit
laboratories Laboratorien
laboratory Laboratorium
laborer Arbeiter
laboriousness Muehseligkeit
labour Arbeit
labourer Arbeiter
labourers Arbeiter
labyrinth Labyrinth
lac Gummilack
laceration Fleischwunde
lachrymal Traenen
lackey Lakai
lacks Maengel
lacquer Lack
lactation Saeugen
lactose Milchzucker
lacuna Hohlraum
lad Juengling
ladder Leiter
laddie Bursche
ladies Damen
ladle Suppenkelle
lady Dame
lady-love Geliebte
ladybird Marienkaefer
ladybugs Marienkaefer
laggard Zauderer
laggards Bummler
lagoon Lagune
laguna Lagune
laird Gutsherr
laity Laie
lake See
lakes Seen
lamb Lamm
lambency Zuengeln
lambkin Laemmchen
lambs Laemmer
lameness Lahmheit
